Area,Average dietary energy supply adequacy (percent) (3-year average),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",Average protein supply (g/cap/day) (3-year average),Average supply of protein of animal origin (g/cap/day) (3-year average),"Gross domestic product per capita, PPP, (constant 2017 international $)",Prevalence of undernourishment (percent) (3-year average),Prevalence of severe food insecurity in the male adult population (percent) (3-year average),Prevalence of severe food insecurity in the female adult population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),Cereal import dependency ratio (percent) (3-year average),Percent of arable land equipped for irrigation (percent) (3-year average),Value of food imports in total merchandise exports (percent) (3-year average),Political stability and absence of violence/terrorism (index),Per capita food supply variability (kcal/cap/day),Percentage of population using safely managed drinking water services (percent),Percentage of population using at least basic drinking water services (percent),Percentage of population using at least basic sanitation services (percent),Percentage of children under 5 years affected by wasting (percent),Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),Prevalence of obesity in the adult population (18 years and older) (percent),Number of obese adults (18 years and older) (million),Prevalence of anemia among women of reproductive age (15-49 years) (percent),Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),Prevalence of low birthweight (percent),Minimum dietary energy requirement  (kcal/cap/day),Average dietary energy requirement (kcal/cap/day),Coefficient of variation of habitual caloric consumption distribution (real number),Incidence of caloric losses at retail distribution level (percent),Average fat supply (g/cap/day) (3-year average),Rail lines density (total route in km per 100 square km of land area),Percentage of population using safely managed sanitation services (percent)
Afghanistan,105,2242,2242,71,61.9,10.2,2138.9,30.4,26.5,34.7,76.4,85.4,42.5,4.9,142,-2.55,26,30,82,56,3.6,33.1,3.7,19.2,3.9,42.6,63.3,,1666,2144,0.4,2.63,43,,
Albania,134,3318,3346,33,116.8,62.1,17261,4.5,7.2,9.3,28.6,35.7,44.1,13.1,22,0.11,41,71,95,99,,8.3,13.4,23.4,0.5,24.8,,6,1914,2487,0.29,2.95,112.7,1.5,56
Algeria,152,3513,3509,50,95.1,26.4,13090.9,<2.5,7,4.3,20.9,16.9,80.6,0.6,25,-0.74,42,71,95,86,,8.6,11.9,23.8,6.9,33.3,,7.2,1790,2307,0.29,3.53,99.1,0.2,62
American Samoa,,,,,,,,,,,,,,,,1.13,,90,99,54,,,,75.2,<0.1,,,,,,,3.02,,,37
Andorra,,,,,,,63379,,,,,,,0.3,,1.59,,91,99,99,,,,18.1,<0.1,12.1,,9.4,,,,3.02,,,99
Angola,111,2352,2397,63,48.3,14.9,7407.1,23.2,30.4,33.3,76.2,82.2,39.2,0.1,7,-0.65,70,,58,52,,43.6,3.9,11.5,2,44.5,,15.5,1674,2152,0.36,3.84,51.7,,
Antigua and Barbuda,,,,28,93.3,63.9,27757.2,,7.4,6.8,29,37,100,0.9,643,0.94,3,,98,97,,,,33.3,<0.1,17.2,,15.4,1909,2471,0.29,3.37,95.6,,
Argentina,137,3367,3353,33,119.6,74.3,27127.4,3.2,10.4,15.7,30.5,41.7,-138.2,0.9,5,-0.01,13,,99,95,,9.5,12.6,35.4,11.6,11.9,,7.4,1886,2445,0.28,2.83,135.2,0.6,46
Armenia,135,3284,3263,39,108.6,55.2,19100.2,<2.5,<0.5,<0.5,7.2,8.5,77.6,7.3,23,-0.8,70,82,99,94,,7.2,11.5,24.5,0.5,17.3,,8.3,1874,2421,0.2,2.5,114,2.3,11
Australia,138,3500,3458,23,119.6,79.3,59120,<2.5,4.8,3.6,12.8,13,-214.8,0.3,4,0.93,23,,99,99,,3.4,21.8,30.2,6.2,8.5,,6.6,1922,2496,0.22,2,157.6,,96
Austria,151,3828,3826,26,109.8,66.7,65836.9,<2.5,2,1.5,5.4,4.4,19.9,1.2,7,0.64,26,99,99,99,,,,15.4,1.1,13,,6.3,1946,2529,0.21,1.69,182.9,5.9,99
Azerbaijan,141,3427,3409,49,98,37.7,21031.5,<2.5,0.7,0.8,11.7,12.7,33.9,17.9,8,-0.93,49,72,98,96,,13.3,10.1,26.5,2,35.1,,11,1881,2435,0.21,2.33,96.8,2.5,69
Bahamas,,,,24,99.1,67.6,32895,,3.6,3.3,17.6,16.9,98.9,0.1,79,0.88,35,,99,95,,,,47.3,0.1,14.5,,15.4,1933,2512,0.23,3.36,103.3,,
Bahrain,,,,33,107.3,60.7,56646.6,,,,,,,4.7,8,-0.41,,99,99,99,,5,,36.1,0.4,35.4,,12.4,1937,2516,0.11,3,128.1,,92
Bangladesh,112,2591,2581,74,66,15.9,7805.2,11.9,10.5,12.2,29.5,31.6,15.7,62,25,-1.09,33,59,98,59,11,26.4,2.1,5.3,6.2,36.7,54.8,23,1792,2316,0.26,2.77,39.8,1.9,31
Barbados,131,3331,3271,31,109.8,62.9,16325.5,3.5,6.8,8,28.8,33.3,100,12.6,88,1.15,52,,98,98,,6,12.5,38,0.1,17,,,1921,2497,0.26,2.75,107.3,,
Belarus,138,3483,3396,33,112.2,69.3,26526.6,<2.5,,,,,3.9,0.2,10,-0.79,31,93,99,99,,3.6,5.3,21.4,1.6,20.6,,5.1,1900,2458,0.2,2.3,129.1,2.6,75
Belgium,153,3892,3894,23,113.4,73.6,63431,<2.5,2,2,6.8,7.9,68.9,0.8,7,0.58,16,99,99,99,,2.4,4,20,1.9,13.6,,6.8,1956,2545,0.21,1.88,183.6,11.8,95
Belize,124,2820,2859,37,81.6,34.9,12407,4.6,5.9,5.9,45.5,45.5,15.5,0.2,39,0.43,23,,98,88,,12,5.9,42.3,0.1,20.5,,11.6,1793,2318,0.25,2.42,104,,
Benin,126,2784,2782,64,70.4,13.8,3697.6,10.3,15.4,16.2,62.4,64.2,46.4,0.5,30,-0.35,42,,67,20,,30.4,2.2,11.2,0.8,55.2,,16.4,1722,2217,0.33,3.15,61.9,0.7,3
Bermuda,,,,24,88.4,61.8,94531.3,,,,,,,,,1.03,14,,99,99,,,,33,<0.1,,,,1968,2545,0.24,3.02,119.7,,
Bhutan,,,,64,77.1,18.4,13423.4,,,,,,72,0.9,25,0.86,,73,99,78,,22.7,6.5,12.2,0.1,38.6,,11.4,1845,2392,0.21,2.95,83,,50
Bolivia (Plurinational State of),103,2336,2342,49,79.6,41.6,9565.3,23,,,,,15,0.5,6,-0.28,30,,94,69,,11.1,9,28.7,2.2,24.4,,7.9,1769,2283,0.29,2.97,57,,
Bosnia and Herzegovina,135,3420,3381,41,108.6,39.7,19355.7,<2.5,2.2,3.3,10.9,15.6,32.2,0.1,22,-0.44,39,87,96,95,,8,9.4,21.2,0.6,24.4,,5.2,1928,2502,0.22,2.48,92.4,2,55
Botswana,109,2574,2574,50,70.1,27.1,17334.9,24.3,24.5,28.2,52.2,57.4,74.6,0,13,1.08,29,,93,81,,21.6,10.1,18.3,0.3,32.5,,16.8,1830,2365,0.37,3.12,68.9,0.2,
Brazil,136,3356,3320,31,101.1,63.9,17874.3,3.9,5.2,8,14.8,22,-23.7,1.1,4,-0.33,23,87,99,91,,7.2,10.3,28.1,45.7,16.1,,8.7,1895,2453,0.27,2.72,137,0.4,50
Brunei Darussalam,,,,46,84.1,46,77440.8,,,,,,83.5,0.2,5,1.26,28,,99,99,,10.9,9.1,31.7,0.1,16.7,,13.6,1870,2421,0.21,1.59,80.5,,
Bulgaria,121,3058,3006,33,89,50.4,32511.8,<2.5,1.7,3.3,11.9,17.8,-208,1.3,11,0.25,16,96,99,86,,5.6,3.8,20.6,1.2,23.6,,11.4,1922,2492,0.2,1.85,128.6,3.6,74
Burkina Faso,119,2668,2665,58,91.8,18.3,2448.1,15.4,7.6,6.8,42.1,39.3,17.1,0.2,10,-1.78,25,,50,25,,21.8,2,6.7,0.8,52.5,,18.5,1741,2245,0.35,2.97,61.8,0.2,10
Burundi,,,,65,40.3,3.1,857.2,,20.2,21.6,69.7,71.8,26.2,0.9,76,-1.19,,,62,46,4.9,56.5,3.6,5,0.3,38.5,85,14.8,1674,2153,0.28,4.76,15.9,,
Cabo Verde,109,2639,2639,53,77.5,28.9,7633.8,12.6,6,6,34.3,34.3,96.8,0.9,452,0.93,18,,90,83,,9.4,,15.8,0.1,24.3,,,1876,2431,0.25,3.08,71.1,,
Cambodia,122,2823,2819,76,62.1,20.8,4860.5,4.6,11.7,16.1,47,54,-2.4,1.5,5,-0.04,15,29,78,77,,22.3,3.8,4.4,0.5,47.1,,11.4,1786,2306,0.23,3.31,36.4,0.4,37
Cameroon,126,2826,2835,59,71.6,13.5,4785.7,5.7,26.1,24.7,59.7,59.5,34.9,0.1,27,-1.35,41,,70,43,,26.9,10.5,14.9,2.1,40.6,,12.5,1752,2259,0.26,4,61,0.2,
Canada,145,3688,3631,28,114.8,67.9,56716.4,<2.5,1.3,1.7,7.6,9.5,-163,0.1,7,0.77,32,99,99,99,,,11.1,26.2,8.2,10.4,,6.6,1926,2505,0.21,2.03,159.7,0.3,84
Central African Republic,104,2215,2228,43,63.8,21.2,1039.3,23.5,61.8,61.8,81.3,81.3,26.8,0,74,-2.16,6,6,36,14,,39.8,2.6,9.3,0.2,46.8,,16.4,1663,2142,0.3,4.11,89.5,,13
Chad,100,2168,2184,57,77.7,28.2,1748.5,35.1,36.7,36.2,76.3,77,5.2,0,8,-1.48,16,6,52,13,7.8,32.3,3.2,6.7,0.5,45.4,7.4,,1701,2187,0.4,2.94,71.5,,11
Chile,127,3095,3111,39,103.9,57.2,29691.2,<2.5,3.4,4,15.9,19.3,61.2,1.5,9,0.12,22,99,99,99,,1.6,8.8,38.9,5.9,8.7,,6.8,1891,2452,0.23,2.82,96.8,0.3,95
China,139,3420,3404,51,125.2,50.2,21262.3,<2.5,,,,,8.8,,5,,22,,,,,4.6,8.9,8.3,94.3,15.5,,5,1897,2457,,,93.7,1.2,
"China, Hong Kong SAR",126,3072,3058,27,137.1,95.4,64166.7,<2.5,,,,,100,1,3,0.61,57,99,99,96,,,,,,,,,1879,2430,0.22,3.15,126,20.7,96
"China, Macao SAR",119,2871,2894,31,114.5,75,57203.4,10.7,,,,,97.2,,118,1.13,83,99,99,99,,,,,,,,,1879,2426,0.3,2.67,122.3,,68
"China, mainland",139,3430,3415,51,125.6,49.9,21019.5,<2.5,,,,,7.9,7.9,5,,23,,,,,,,,,,,,1897,2457,0.18,4.02,92.9,1.1,
"China, Taiwan Province of",120,2973,2964,30,98.9,56.2,,3.7,,,,,77.4,10.7,3,,13,,,,,,,,,,,,1902,2465,0.22,2.41,131.5,,
Colombia,131,3111,3105,34,80.5,44.9,18732.7,4.2,5,5.7,27.8,35,64.7,1,15,-0.64,17,74,98,95,,11.2,6.2,23.6,9.1,21.2,,11,1833,2370,0.27,2.9,102.9,,18
Comoros,108,2405,2418,55,65.8,21.4,3445.1,16.9,26.4,28.4,79.5,80,60,0.1,304,-0.23,34,,80,36,,18.8,7.7,16.3,0.1,33.8,,23,1751,2257,0.26,4.04,56.4,,
Congo,98,2211,2199,58,54.6,29.5,6272.3,26.8,37.1,39.6,78.8,81,88.9,0,10,-0.02,29,46,74,21,,16.5,4.5,8.5,0.3,48.8,,11.9,1751,2257,0.26,4,56.9,0.3,
Cook Islands,,,,,,,,,,,,,,,198,,,,99,85,,,,68.9,<0.1,27.1,,10.3,,,,3.02,,,
Costa Rica,121,2995,2974,32,86.9,52.2,24650.5,<2.5,2.6,3.1,13.8,18.6,92.6,3.1,13,0.95,47,80,99,98,,9.5,7.6,31.4,1.2,13.7,,8.7,1894,2456,0.19,2.65,109.1,1.7,25
Côte d'Ivoire,132,2961,2953,70,66.4,15.9,6699.9,9.6,8.8,9.1,39.3,39.4,49,0.2,13,-0.52,16,44,73,37,,20.2,2.6,11.6,1.7,50.9,,18.3,1740,2245,0.35,3.92,56.1,0.2,17
Croatia,132,3322,3294,28,106.3,67.9,39538.5,<2.5,1.5,1.3,7.1,8.8,-60.9,0.9,16,0.61,13,85,99,96,,,,30.6,1,21,,5,1920,2492,0.21,2.11,130.4,3,78
Cuba,131,3010,3207,44,91.1,41.3,,<2.5,,,,,90.7,6.2,109,0.5,78,,95,92,,7,10.2,21.8,2,19.3,,7.1,1890,2449,0.23,2.59,78.6,4.6,41
Cyprus,120,3024,3036,37,102.6,56.8,50232.2,<2.5,,,,,97.7,4.1,31,0.42,28,99,99,99,,,,22.9,0.2,13.6,,,1950,2531,0.18,1.97,114.2,,77
Czechia,136,3431,3421,23,96.8,62.1,48784,<2.5,2.2,2.3,9,11,-54.7,0.5,4,0.82,14,98,99,99,,2.5,6.1,26,2.2,21.1,,7.6,1948,2529,0.21,1.64,158.5,11.9,90
Democratic People's Republic of Korea,81,,,68,56.7,9.8,,,,,,,13.8,12.1,266,-0.41,40,66,94,85,,16.8,2.8,10.8,2.2,33.9,,,1860,2407,0.26,3.15,33.9,,
Democratic Republic of the Congo,99,2052,2105,82,29.6,3.7,1432.9,37,43.1,40.3,80.7,79.6,23,0,4,-1.98,36,12,35,16,,40.3,3.7,6.6,3.1,42.4,,10.2,1655,2126,0.39,4.78,22.8,0.2,13
Denmark,141,3572,3581,26,113.5,75.7,71224.3,<2.5,2.1,1.6,6.8,7.3,-8.9,7.6,8,0.87,32,99,99,99,,,,13.3,0.6,12.2,,4.8,1956,2547,0.21,1.83,149.3,5,99
Djibouti,116,2744,2770,53,73.9,14.4,6135.8,12.9,17.6,15.4,49.3,49.2,100,0,49,-0.51,9,,76,67,,18.7,3.2,11.3,0.1,32.3,,,1849,2395,0.3,2.66,67.1,3.4,40
Dominica,111,3101,3076,26,100.6,56.9,15221.4,13.4,5.8,5.8,34.4,34.4,100,0.3,261,1.3,64,,95,80,,,,31.3,<0.1,20.8,,,2111,2787,0.28,4.21,94.5,,
Dominican Republic,134,3280,3219,27,80.9,41.9,22761.3,4.6,17.1,20.8,42.7,49.5,62.1,6.4,28,0.33,12,45,97,89,,5.6,7.6,29.3,2.2,26.4,,13.4,1856,2402,0.27,5.76,107.7,,43
Ecuador,110,2536,2549,40,68.8,38.6,13530.4,13.9,11.2,14.1,33.1,40.6,39.4,6.9,7,-0.24,47,67,96,92,,22.7,11.9,27.4,3.4,17.2,,10.6,1801,2329,0.27,2.5,101.3,,42
Egypt,133,3107,3113,64,92.5,28.7,16600.4,8.5,9,11.7,27.1,32.5,43,4,39,-1.03,24,,99,98,,20.4,18.8,44.3,30.4,28.3,,,1823,2355,0.34,3.26,59.3,0.5,67
El Salvador,122,2878,2839,48,85,34.7,11103.5,6.8,13.7,17.9,39.9,53.8,53.9,2.2,38,-0.15,41,,99,88,,10,6.8,30.9,1.4,10.6,,10.2,1794,2319,0.28,2.93,70.8,2.6,
Equatorial Guinea,,,,,,,18165.2,,,,,,,0.1,6,-0.07,,,65,66,,16.1,8.2,17.7,0.2,44.5,,,1783,2300,0.11,3.02,,,
Eritrea,,,,,,,,,,,,,,0.2,26,-0.97,,,52,12,,50.2,3,4.8,0.1,37,,15.2,1747,2257,0.26,1.51,,,
Estonia,131,3325,3309,22,109.8,77,43877,<2.5,0.8,1.1,8.5,10.2,-111.8,0,8,0.72,25,97,99,99,,1.2,5.1,22.2,0.2,21.7,,4.2,1957,2541,0.21,1.7,140.9,2.3,90
Eswatini,110,2556,2553,56,60.7,19,10170.9,12.4,17.5,16.9,55.1,56.7,65.1,2.9,17,-0.25,41,,74,64,,21.2,7.9,30.1,0.2,30.7,,10.2,1804,2332,0.26,2.82,59.6,1.7,
Ethiopia,112,2552,2499,72,77.6,7.2,2698.6,22.2,19.5,19.8,60.3,57.8,10.3,0.8,92,-2.04,23,13,52,9,,34.4,2.7,2.8,1.9,23.9,,,1739,2244,0.36,2.27,44.1,0.1,7
Fiji,122,2912,2894,42,80.3,37.2,12643.9,7.8,8.5,8.5,29.2,29.2,86.6,0.2,43,0.76,21,42,96,93,,7.1,7.4,33.8,0.2,32,,7.4,1838,2379,0.28,2.62,85.4,,49
Finland,130,3335,3329,33,124.4,78.7,58634.4,<2.5,3.2,2.9,11.2,14,-6.2,0.2,6,0.89,28,99,99,99,,,,21.5,1,10.9,,4.1,1968,2564,0.21,2.05,127.1,1.7,90
France,145,3615,3612,29,120.9,79.2,54988.3,<2.5,2.1,2.4,7.7,8.1,-102.5,5.2,9,0.33,15,99,99,99,,,,9.7,5,10.6,,7.4,1924,2501,0.21,1.98,152,5,90
French Polynesia,116,2784,2829,35,104.2,67.3,,5.4,,,,,,0.3,353,,48,82,99,97,,,,48.1,0.1,,,,1880,2437,0.23,2.39,118.9,,
Gabon,114,2639,2627,52,87.8,44,19718.3,20.1,,,,,94.7,0,8,0.07,33,,87,50,,13.4,5.4,21,0.3,52.4,,14.6,1788,2307,0.35,4.88,54.1,0.2,
Gambia,105,2358,2383,52,59.8,19.3,2744.8,20.5,25.1,25.9,59.9,58.1,84.9,0.5,341,0.05,40,48,86,48,,13.6,1.8,14.9,0.2,49.5,,13.2,1765,2277,0.29,2.25,58.6,,28
Georgia,126,3135,3092,48,91.2,39.8,20612.2,4,7.4,7.6,30.3,34.5,65,1.6,27,-0.44,50,69,95,86,,4.8,5,34.7,1,27.5,,7.4,1894,2451,0.25,1.97,84.9,2,24
Germany,144,3662,3651,24,110,73,62605.5,<2.5,2,1,4.7,3.4,-0.1,1.9,6,0.61,11,99,99,99,,2.1,3.1,20.4,14.2,11.7,,6.7,1946,2529,0.21,1.73,166.1,9.3,97
Ghana,135,3106,3108,67,68.2,18.5,6616.1,6.2,7.9,8.6,41.3,43.5,35.6,1,19,-0.07,33,44,88,29,5.8,12.7,1.9,12.9,2.5,35.4,53.1,14.4,1788,2307,0.32,4.87,47.1,0.4,16
Greece,134,3405,3381,27,105.8,64.4,35328.8,<2.5,1.1,1.8,5.8,7,34.3,15.5,15,0.06,23,99,99,99,,2.2,14.6,28,2.4,15.1,,11.4,1941,2524,0.21,2.04,156.9,1.8,92
Greenland,,,,,,,68086.5,,,,,,,,,1.57,,,99,62,,,,27,<0.1,,,,,,,3.02,,,
Grenada,,,,23,96.9,59.4,15136.3,,5.8,5.8,19.9,19.9,100,5.9,332,1.04,12,90,96,92,,,,30.3,<0.1,19.2,,,1910,2476,0.26,3.25,100.2,,
Guatemala,125,2806,2781,44,71,29.7,12424.8,12.6,19.6,22.6,54,65.6,54.8,3.1,26,-0.3,38,56,95,70,,43.5,4.8,26.8,2.9,7.4,,14.5,1728,2229,0.35,3.12,67.8,0.8,
Guinea,131,2908,2909,64,57.7,13.2,3818.2,10.3,,,,,30.7,0.4,12,-0.86,17,,72,31,6.4,27.9,5.6,9.5,0.7,48,,,1733,2235,0.37,3.62,64.3,,
Guinea-Bissau,96,2188,2173,65,48.4,9.4,2192.4,32.2,9,9,62.5,62.5,34.7,0.9,61,-0.39,12,24,62,28,,27.7,3.3,11.5,0.1,48.1,,19.5,1753,2262,0.31,2.81,67.1,,15
Guyana,142,3404,3299,38,107.3,52.3,37667.8,<2.5,4.7,4.7,25.5,25.5,-13.6,0.7,5,0.03,64,,96,91,,7.6,5.7,28.5,0.2,31.7,,17.2,1796,2318,0.25,4.29,70.7,,44
Haiti,85,1977,2010,55,47.2,12.5,3026.2,50.4,40.8,44.1,81.9,83.7,85.7,3.5,135,-1.41,20,,67,38,,19.5,3.7,10.7,0.8,47.7,,,1824,2360,0.4,2.69,42.4,,
Honduras,115,2667,2662,43,62.7,25.4,6440.4,20.4,24.7,29.2,51.4,60.7,64.1,0.8,19,-0.55,21,65,96,84,,17.5,4.7,29.5,2,18,,13.1,1790,2314,0.4,2.02,88.3,,53
Hungary,132,3292,3354,28,90.6,54.7,40683.9,<2.5,3.2,4,13.1,16.9,-90.4,2.1,5,0.64,49,99,99,98,,,,31.7,2.6,19.7,,8.3,1949,2532,0.22,1.72,156.1,8.6,88
Iceland,144,3754,3689,29,150.6,106.1,64294.7,<2.5,1.5,2.4,5.6,8.4,92.5,0,10,1.26,55,99,99,99,,,,21.2,0.1,10.3,,4,1968,2564,0.21,2.22,163,,
India,111,2614,2588,54,71.3,18.4,8568.6,13.7,,,,,-12.3,25.4,7,-0.57,11,,93,78,,31.7,2.8,7.3,71.4,53,,27.4,1806,2336,0.27,2.99,61.1,2.1,52
Indonesia,123,2844,2858,54,77.5,28.5,13495.5,7.2,<0.5,<0.5,4.9,5,14.1,3.6,8,-0.44,28,30,94,88,,31,10.6,11.2,21.6,31.2,,9.9,1796,2319,0.28,3.16,78.1,0.3,
Iran (Islamic Republic of),121,2873,2878,52,82.4,26.3,15499.9,6.5,6,6.9,39.9,39.9,53.4,5.9,14,-1.59,34,94,98,90,,4.7,3.8,24.3,15.6,24.1,,,1850,2388,0.26,2.93,77.3,0.5,
Iraq,117,2701,2685,59,71.4,15.1,13062,16.1,,,,,57.6,8.1,13,-2.47,14,60,98,98,,9.9,6.4,40.5,10.1,28.6,,10.9,1781,2298,0.35,2.63,64.8,0.5,53
Ireland,155,3832,3849,27,134.6,92.7,122596,<2.5,2.1,1.2,4.6,3.9,62.8,,5,0.88,77,96,96,89,,,,28.3,1.1,12.1,,5.6,1923,2496,0.19,1.8,154,2.3,80
Israel,161,3707,3708,31,136.4,81.4,48318.9,<2.5,3.8,3,12.4,11.9,91.8,14.1,11,-1.29,13,99,99,99,,,,22.5,1.4,12.9,,9,1785,2306,0.22,2.23,165.3,7.8,96
Italy,149,3781,3760,31,116.2,69.4,51941.2,<2.5,<0.5,<0.5,2.1,1.9,41.4,13.9,7,0.41,40,93,99,99,,,,17.3,8.6,13.6,,7.2,1946,2531,0.2,1.9,161.1,5.7,79
